name,season,number,airdate,rating,summary,image_url
B.Y.O.B.,1,11,1991-01-10,9.0,"Brenda goads Brandon into taking her to a party at Donna's house. He voices his objections to alcohol, but Steve spikes his drink. He decides to go along with it so that he won't appear """"uncool."""" Kelly gets drunk and sleeps with Steve. Cindy catches Brenda with alcohol on her breath, but Brandon gets by unscathed. Jim and Cindy attend a weekend retreat, where they are forced to spend all their time with an overly friendly couple. Brenda convinces Brandon to throw a party, but they agree not to drink. Word of the party spreads, and it quickly gets out of hand. Brandon drinks heavily and kisses a stunned Andrea. Kelly dances with the lovestruck David to avoid Steve's advances. Brandon tries to drive to the store and smashes his car. He is arrested for drunk driving. Dylan takes him to an AA meeting and reveals that he is an alcoholic.",https://image.tmdb.org/t/p/original//dycg5rA5Jz0BbOeQDZ07WtZrYvN.jpg
One Man and a Baby,1,12,1991-01-24,8.0,"Brandon meets senior Melissa Coolidge on the school lawn during lunch. He makes a date with her, and learns that she is the mother of an infant son, Joey. Brandon is forced into emergency babysitting duty while Melissa has an interview with Harvard. Jim and Cindy are unavailable, but Steve helps Brandon through the afternoon. Melissa's interview does not go well, and she becomes frustrated with her life. She fears that she may have to give up her son, but Cindy calms her with a heart-to-heart talk. Brenda and Kelly win skydiving lessons from a radio contest.",https://image.tmdb.org/t/p/original//vpKA03Shfus0IlkSMF1ZAOvMYpW.jpg
Slumber Party,1,13,1991-01-31,9.0,"Brenda invites Kelly, Donna and Andrea over for a """"night of female bonding."""" They are having a good time until Kelly's friend Amanda shows up. She insults everyone and decides to turn the girls against each other. As part of a """"game"""" about secrets, Amanda bullies Kelly into describing her first sexual encounter, in which she was humiliated by the football captain. After Brenda recalls stealing a Minnesota friend's boyfriend, Kelly admits that she tried to hit on Dylan. The girls eventually make up, and Brenda and Kelly vow to never let a man come between them. Amanda's behavior is attributed to a diet pill addiction. The girls catch David and Scott lurking outside the window and taking pictures of them. Brandon and Steve are denied entry to a club, but hook up with two girls. They steal Steve's Corvette, but he doesn't press charges (and pays their traffic ticket) because he foolishly thinks that he and Brandon still have a chance with them.",https://image.tmdb.org/t/p/original//v5NmXaieGMvlcLBuU0SmgxV0d0B.jpg
East Side Story,1,14,1991-02-14,7.0,"The Walshes agree to let their maid's extremely intelligent """"niece,"""" Carla, use their address to enroll at West Beverly. Brandon falls hard for her, but doesn't understand why everyone seems opposed to their relationship. Carla reveals that she witnessed a drive-by shooting that claimed the life of a four-year-old; she had moved in with Anna while waiting to testify, with protection from the D.A. Carla returns to her family after one of the killers confesses. Jim and Cindy organize a soiree for his new client, a sportswear designer. Dylan, Steve and the girls receive free clothing. David wants MC Hammer to perform at the school dance.",https://image.tmdb.org/t/p/original//9mvOcvjhMaYDjl4J8cHF3GD34Dm.jpg
A Fling in Palm Springs (a.k.a. Palm Springs Weekend),1,15,1991-02-21,8.0,"David invites Steve, Kelly and Donna to his grandparents' luxurious Palm Springs home for President's Day weekend. He is embarrassed to find that his grandparents, who he believed were on a cruise, are actually at home. David meets a strange girl at a gas station and asks her over to the house. She brings friends for Steve, who is still trying to win back Kelly. Brenda plans to spend the weekend with Dylan, but cannot remember the name of his hotel. She loses her wallet and spends the night in a linen closet. She finally makes it to the hotel, only to find Dylan hanging out with another girl. David's grandparents give the teens advice about romance, and help Brenda and Dylan. Brandon befriends a young customer at the Peach Pit, but later catches him trying to steal cash. The boy reveals that his family is homeless.",https://image.tmdb.org/t/p/original//3kCuLhxyKWPVGSWhbSkIx3oCNeT.jpg
Fame Is Where You Find It,1,16,1991-02-28,9.0,"Brandon is rollerblading in the park while the television show Keep It Together is filming an episode. The producers seek him out as an emergency replacement for one of the extras. He hits it off with the star, Lydia Leeds, and is considered for a recurring role. However, Lydia is only using him to make her leading man/boyfriend jealous so that he will end his holdout. Brenda fills in for Brandon at the Peach Pit. She is in over her head until she adopts the persona of Laverne, a sassy, gum-chomping waitress. She quickly charms all of the customers with her wisecracks and lip-synch routines.",https://image.tmdb.org/t/p/original//9U4nRkcVzrWh117lHmBvuKeWf5T.jpg
Stand (Up) and Deliver,1,17,1991-03-07,9.0,"Andrea persuades Brandon to run for class president. Kelly seizes control of the campaign and encourages Brandon to capitalize on his looks and image. She even agrees to a date with David in exchange for his help producing a campaign video. Brandon decides that he isn't the best man for the job after talking with his bright and dedicated opponent. Brenda, feeling neglected by family and friends, begins hanging out at a coffeehouse. Sky, a performance artist, convinces Brenda to drop out of high school and get her GED so that she can """"experience life."""" Brenda moves out of the Walsh house to apartment-sit for Sky. She learns that life as an artist is not as romantic as it seems, as Sky's utilities are turned off and her furniture is repossessed.",https://image.tmdb.org/t/p/original//gzuUSsnjBwmi35MbAYLIMiVoP0l.jpg
It's Only a Test,1,18,1991-03-28,9.0,"Everyone but Dylan is driven into a frenzy by the upcoming SATs. A completely panicked Andrea seeks help from Steve, who attended an expensive SAT prep course. During their study session, they end up kissing, and avoid each other for days. Kelly reads an article about breast health, so the girls take time out from studying for a self-exam. Brenda discovers a lump in her breast and must undergo a biopsy. Cindy and Brenda are haunted by memories of Cindy's sister Sheila, who died of breast cancer. Brandon cannot concentrate during his SAT, so he leaves during the exam to go to the hospital. (He and Brenda are to take a make-up test at a later date.) Brenda is relieved when she receives a clean bill of health.",https://image.tmdb.org/t/p/original//y8I0blGv9AA4gdI7DIzvPMRpJSY.jpg
April Is the Cruelest Month,1,19,1991-04-11,9.0,"Brandon gets assigned to a story on West Beverly's star tennis player, Richard Azarian, who is initially resistant but finally allows Brandon to interview him. He finds a screenplay that Richard wrote, and it's autobiographical contents lead Brandon to worry that the tennis star may be considering patricide. Meanwhile, the gang learn their SAT scores, and Donna's low scores convince her that hanging out with the school's loser quotient is the only future she has.",https://image.tmdb.org/t/p/original//x7EWJA196U8T67uzlAFnqMHJXbe.jpg
Spring Training,1,20,1991-04-25,10.0,"A dog follows Brenda home from a jog. She tries desperately to find the animal a home so that she won't have to take it to a shelter. Brandon and Steve must take over Jim's little league team after he injures his back during infield practice. Brandon is disgusted with the whole experience, particularly the undue influence of the league president (father of the star pitcher) and the players' attitudes. He arranges a practice game with Nat's team of underprivileged kids, where one of his players taunts the hapless second baseman. Brandon stomps off when Steve won't let him remove the boy from the lineup. He stays with the team out of loyalty to his father, but also helps Nat's squad. The fortunes of Nat's team begin to turn around when Andrea brings in a female superstar.",https://image.tmdb.org/t/p/original//7M8JGjfVn7Ef7bzzBwMcGlx41de.jpg
Spring Dance,1,21,1991-05-02,9.0,"Brenda tries to convince Andrea to ask Brandon to the spring dance, but Kelly beats her to it. Steve reluctantly takes Donna, who wears an elaborate gown that impedes sitting or dancing.",https://image.tmdb.org/t/p/original//3JAuKUPwReK5SqcvonwJrT2uPrj.jpg
Home Again,1,22,1991-05-09,9.5,"Jim is offered a promotion that requires a move back to Minneapolis. He initially decides to respect his family's wishes and decline the job, but changes his mind when the boss offers to double his salary. Steve pushes Brandon away, and Brenda feels that Kelly and Donna are ignoring her. Dylan wishes to try a long-distance relationship, but Brenda breaks up with him. Andrea wants to sleep with Brandon before he leaves, and he agrees. Their rendezvous is cancelled when Kelly organizes a going-away party at the Peach Pit. Jim, swamped at his new job and touched by the outpouring of affection by his children's friends, decides to turn down the promotion. Brenda tells Dylan that she may be pregnant.",https://image.tmdb.org/t/p/original//jPrxnWZRozQBAdTLGDDJ7MxarPp.jpg
Beach Blanket Brandon,2,1,1991-07-11,1.0,"After a home pregnancy test is inconclusive, Dylan and Kelly take Brenda to a gynecologist. The pregnancy scare turns out to be a false alarm, but Brenda is badly shaken by the experience. Cindy and Jim confront her after finding the pregnancy test box in the trash. Brenda breaks it off with Dylan because she is overwhelmed by the issues that their relationship has forced her to confront. Hoping to earn extra cash during the Peach Pit's summer lull, Brandon tries out for lifeguard at the Beverly Hills Beach Club. He fails, but is offered a cabana boy position. He feels guilty when he must quit the Peach Pit without leaving notice. Brenda, Donna, Andrea and David enroll in a summer school acting class.

Music: """"Rockin' Robin"""" by Bobby Day (#2, 1958); """"Tell It Like It Is"""" by Aaron Neville (#2, 1967); """"Wake Up Little Susie"""" by the Everly Brothers (#1, 1957); """"Losing My Religion"""" by R.E.M. (#4, 1991)",https://image.tmdb.org/t/p/original//7bTgqmU6pRFdPzEWozgS8ZuaDjI.jpg
The Party Fish,2,2,1991-07-18,9.0,"Brandon befriends Jerry Rattinger, an influential sports promoter and member of the beach club. At the same time, he looks to romance Sandy, a beleaguered co-worker who is many years his senior. Dylan warns Brandon that Sandy is not the right woman for him. Jerry wishes to hire Brandon as his gopher and loan him money for a new car. Brandon does not understand why Jim disapproves. Jerry asks Brandon to drive his wife home; Mrs. Rattinger reveals that her husband wanted her out of the way so that he could spend time with his mistress, Sandy. Brandon severs all ties with Jerry, who tries to have him fired from the club. Sandy decides to leave town in the hopes of getting her life in order. As an acting class assignment, Brenda tries to recreate the experience of being lost in a mall as a child.",https://image.tmdb.org/t/p/original//5vp4m6v8anJzBncPLeTToBANjEd.jpg
Summer Storm,2,3,1991-07-25,10.0,"Dylan's father is taken into custody, and all his assets are frozen. Dylan refuses to spend the summer in Hawaii with his flaky mother. He is injured in a surfing accident, and Cindy agrees to take care of him during his recovery. Jim and Brenda are unhappy with this arrangement. Jim catches Brenda and Dylan kissing, and orders Dylan to leave in two days. He sneaks out in the middle of the night and sleeps in a cabana at the beach club. Brandon finds him and convinces him to return to the Walsh house, where Jim helps him deal with his feelings about his father. Kelly gets a date with an attractive classmate, but is stung when he won't make a move on her. He admits that he is confused about his sexuality. Donna and David must perform a scene from Romeo and Juliet for their acting class.

Music: """"You Are the Everything"""" by R.E.M.",https://image.tmdb.org/t/p/original//wtip7lxMHYuOC59C0Am6ZufthUn.jpg
Anaconda,2,4,1991-08-01,10.0,"Jim encourages Dylan to get in touch with his mother, but Dylan is too proud to ask her for financial help. Brandon, David, Steve and some friends hold an after-hours poker game at the beach club. Dylan joins them, and is furious when he loses a lot of money. The club suffers a break-in, and Brandon's boss is questioned because of a past (unjust) robbery conviction. In spite of Steve's objections, Brandon comes to Henry's defense by telling the police about the poker game. Dylan becomes the prime suspect after electronic equipment is found in his car. Brenda and her parents stand behind him, but Brandon becomes suspicious after finding pawn shop tickets. He wonders how cash-poor Dylan was able to afford a plane ticket to Hawaii. Dylan reveals that he has been forced to pawn his belongings from the family storage locker. He had finally called his mother, who paid for his ticket. The laundry service turns out to be the culprit. Dylan flies to Hawaii to visit his mother. Brenda suffers a",https://image.tmdb.org/t/p/original//qnREdGiSumorGVI0f8nhe8kSPOq.jpg
"Play It Again, David",2,5,1991-08-08,10.0,"Jackie breaks her tooth during lunch at the beach club, but a nearby dentist comes to her rescue. He asks her out, then reveals that he is Mel Silver--David's father. Kelly is mortified when the pair hits it off, and imagines life as David's step-sister. She determines that she must break up the couple, and behaves rudely during a dinner. Kelly breaks down in tears and explains that she is afraid of losing her mother. She apologizes to Mel and helps David deal with the realization that his parents won't reunite. Andrea goads Brandon into spending time with a fatherless boy from the youth center. Brandon develops a friendship with the boy, then discovers that his mother is beating him. He grapples over whether to report the abuse. Brenda cannot stop thinking about Dylan while he is away in Hawaii.",https://image.tmdb.org/t/p/original//rUTLps8IGdf6xPZwgBxzgY4nNlO.jpg
Pass/Not Pass,2,6,1991-08-15,10.0,"Chris, the acting teacher, asks Brenda to perform a scene with Andrea to bring her out of her shell. Brenda admits her crush on Chris to Andrea, who soon develops her own interest in him. The girls take Chris on a tour of the city, and Brenda is devastated when he seems more impressed with Andrea. Chris and Andrea share a good-night kiss. A jealous Brenda slaps Andrea hard during their scene. She forgets about Chris when Dylan returns home from Hawaii. Chris decides to move to Los Angeles permanently, but reveals that he has a girlfriend. Brandon refuses Jim's help as he purchases his dream car. He ends up blowing all of his summer earnings on a lemon. Jim takes pity on him and pays for the necessary repairs. Kelly and Steve lament the imminent end of summer vacation.

Music: """"Little Bitty Pretty One"""" by Thurston Harris (#6, 1957); """"Joyride"""" by Roxette (#1, 1991); """"The Hukilau""""; """"A Summer Song"""" by Chad & Jeremy (#7, 1964)",https://image.tmdb.org/t/p/original//1DkWtbbnyPCTiTxXshDzOQvmcjB.jpg
Camping Trip,2,7,1991-08-29,10.0,"The gang takes off with plans to spend the weekend camping at Yosemite Park. A sudden monsoon forces the teens to seek refuge in a cramped one-bedroom cabin. Everyone quickly begins to get on each other's nerves. Steve and David go out for beer, but an elderly couple takes Steve's money and splits without buying him anything. The honeymooning couple in the next cabin supplies the kids with food and firewood, but gets into a huge argument. The gang tries to provide counsel, and learns that the husband had commented on waiting to have kids, but the wife is already pregnant. Dylan storms out following a fight with Brenda and has a drink. Dylan and Brandon go for a hike, but Brandon slips on the rocks. Dylan saves him from falling off the cliff, and they decide to keep the incident to themselves.",https://image.tmdb.org/t/p/original//ucj7ov8g5fFaXKeu7ykVeLrPOBr.jpg
Wildfire,2,8,1991-09-12,10.0,"On the first day of school, Dylan makes a date with Emily Valentine, a new student who plays guitar and rides a motorcycle. She also makes a date with Brandon, and all of the guys seem quite taken with her. Emily offers to help Brenda, Kelly and Donna put together an act for the hello assembly. Dylan and Emily park at a spot overlooking the bluff and share a kiss. Brandon takes her to the same place the next night, and they also kiss. Brenda becomes extremely jealous and possessive after learning of Emily's involvement with Dylan. She accuses her of being a tramp, and treats her terribly at a barbecue at the Walsh house. Brenda apologizes to Emily and pleads with her to stay in the act, so that they have someone with talent. Brenda realizes that she still loves Dylan, and they get back together. Scott returns from his summer vacation in Oklahoma sporting a cowboy hat, with sudden interests in country music, fireworks and guns. David freaks out and decides to distance himself from Scott",https://image.tmdb.org/t/p/original//ilE0UD5QMax0WRQTBLVFGBUbTuP.jpg
Ashes to Ashes,2,9,1991-09-19,10.0,"The Walshes sign up for a neighborhood security patrol, but can't figure out how to work the alarm system. A wealthy African American family moves into the neighborhood. Brandon befriends freshman Robbie (who tries out for Blaze staff photographer), but gets into a car accident with his sister Charise. Charise commutes to her old school because she thinks that West Beverly is full of snobs. While Charise is having dinner with Brandon, her boyfriend Devo tries to visit her house and bring her flowers. He is harassed and beaten by the security patrol for no reason. Brandon wants to write a story about the incident, but initially receives little cooperation from Devo, Robbie and Charise.

Music: """"These Are the People in Your Neighborhood"""" (from Sesame Street), sung by Jason Priestley; """"All Right Now"""" (Free - #4, 1970), performed by high school band",https://image.tmdb.org/t/p/original//jPZ3qB3B0IWKnOXvxu0MS7c6WF7.jpg
Necessity Is a Mother,2,10,1991-09-26,9.0,"Dylan cannot stand the fact that his free-spirited mother, Iris, has moved in with him. He begins drinking, skips school, and spends all of his time at a pool hall. Brenda resents Iris for abandoning Dylan as a child, and for trying to step in and control his every move. Cindy, however, forms a bond with Iris and joins her for a number of new-age experiences. Brandon tries to watch over Dylan, who loses a lot of money in a pool game and is beaten when he can't pay off the debt. Although she wants to be a part of her son's life, Iris realizes that her presence is only hurting Dylan. She decides to return to Hawaii, and sets up a trust fund for Dylan with money Jack had once paid her to stay away. Brandon takes Dylan to an AA meeting. After Donna displays a knack for picking stocks in an economics assignment, Steve talks her into investing in the market with him.

Music: """"Mother-in-Law"""" by Ernie K-Doe (#1, 1961); """"Born Under a Bad Sign"""" by Albert King",https://image.tmdb.org/t/p/original//AbhbZARu7AXPlsBJeR9PG56DUOd.jpg
Leading From the Heart,2,11,1991-10-10,9.0,"Brandon and Brenda's cousin Bobby visits, as he is considering transferring to UCLA. He is a paraplegic, the result of a skiing accident three years earlier. Bobby and Kelly develop a mutual interest, but Brenda fears that Kelly will break her cousin's heart. Although Bobby is extremely well-adjusted, he feels uncomfortable when he attends a party with the gang. After seeing Kelly dance with another guy, Bobby becomes depressed and asks to leave. He squelches his relationship with Kelly because he believes that she would lose interest in him. Brandon confesses his guilt about the accident to Bobby, who insists that Brandon should not blame himself for daring him to take the fateful ski jump. Brenda finally passes her driver's test, but is afraid to get behind the wheel. Emily joins the school paper. David asks Donna for a date.

Music: """"Romantic"""" by Karyn White (#1, 1991); """"Crazy"""" by Seal (#7, 1991)",https://image.tmdb.org/t/p/original//eKuaXmXIHek1ZNlQpaNPFXQZZjj.jpg
Down and Out of District in Beverly Hills,2,12,1991-10-17,9.0,"Brandon submits one of Andrea's articles to a high school journalism contest. She wins the contest, but panics because a school district representative wants to conduct a home interview. Andrea asks her grandmother to say that she lives with her, but Rose does not want to play along. The school district initiates an investigation because they suspect that Andrea lives out of district. Andrea moves in with Rose, but decides to give up her fight because she cannot stand to be in the middle of the long-running feud between her parents and grandmother. Rose decides to let Andrea stay and agrees to talk to her daughter-in-law. Steve gets a girlfriend through a """"chance encounter"""" at the Peach Pit, but Kelly suspects that the girl is only interested in his bank account.

Music: """"Radio Song"""" by R.E.M. featuring KRS-One; """"I'll Turn to Stone"""" by The Four Tops; """"Shiny Happy People"""" by R.E.M. featuring Kate Pierson (#10, 1991); """"Losing My Religion"""" by R.E.M.",https://image.tmdb.org/t/p/original//iLcPCu8lvLQ3jFCtwxpZGA2J2Cn.jpg
Halloween,2,13,1991-10-31,10.0,"Brenda, Dylan, Steve, Donna and Kelly attend a Halloween party. Donna dresses as a mermaid; but her fins inhibit dancing, walking, and trips to the bathroom. Kelly's seductive costume catches the eye of a college student. She goes upstairs to talk with him, then becomes uncomfortable. The guy accuses her of leading him on and tries to rape her. Brenda and Donna enter in the nick of time, and Steve punches out the guy. Brandon stays home to hand out candy (actually raisins), but Emily comes to the door with her niece and nephew. Brandon joins them for trick-or-treating, but he and Emily get caught up in their conversation and temporarily lose the kids. David blows off the party and finds Scott hiding out in the bushes. They reminisce about the old days while waiting for an egg fight that never materializes.

Music: """"Romantic"""" by Karyn White; """"Lily Was Here"""" by Candy Dulfer and Dave Stewart; """"The Monster Mash"""" by Bobby """"Boris"""" Pickett (#1, 1962)",https://image.tmdb.org/t/p/original//mJpipUXfjhFISO79jHont6iLP36.jpg
The Next 50 Years,2,14,1991-11-07,0.0,"The students of West Beverly unearth a time capsule from 1941, and put together a capsule of their own. Mrs. Scanlon organizes a surprise party for Scott's birthday, and pushes David to round up the guests. Donna is the only person who wants to attend. Kelly, Steve, Brenda, Brandon and Emily reluctantly come to the party, but act like jerks and refuse to participate in the activities. David tries to save the party by getting everyone to dance, but Brandon and Emily sneak upstairs to make out in the bedroom of Scott's little brother. Mrs. Scanlon throws them out, and the others act really indignant and walk out on the party. Scott goes to his father's den to get matches for the cake, and finds a gun in a locked desk drawer. He tries to twirl it for David, but accidentally shoots himself in the stomach and dies. David's friends and teachers annoy him by constantly asking about his well-being, while Mrs. Scanlon keeps trying to give him Scott's belongings. Donna takes offense when David c",https://image.tmdb.org/t/p/original//zTSZ4JsBCh8IDVS3ZgiPaI4ueAj.jpg
U4EA,2,15,1991-11-14,9.5,"Emily invites everyone to join her at an underground club. The location is a secret; the gang must exchange an egg at a convenience store for this information. The others leave without Steve and Andrea, who end up going to the wrong store and embarrassing themselves. Kelly is mortified when David drinks an entire bottle of whiskey, but Donna dances with him and has a good time. Emily slips a drug called U4EA into Brandon's drink to get him to loosen up. He is too wasted to drive, and vandals trash his car when he leaves it at the club overnight. Brandon does not expose Emily's deed to his parents, but breaks up with her because he no longer trusts her.

Music: """"Hold on to Love"""" by T'Pau",https://image.tmdb.org/t/p/original//v47kxRmhnxvp5JkQRrxZNUaChED.jpg
My Desperate Valentine,2,16,1991-11-21,9.0,"Emily refuses to accept the fact that Brandon no longer wants to see her. She slashes her own tires and pretends that her parents are out of town so that Brandon will invite her to stay over. She sneaks into his bedroom and tries to seduce him. After he makes it clear that he is not interested, she begins to make crank phone calls. Andrea discovers that Emily is the person who has been sending menacing letters to the school paper. Emily shows up at Brandon's house and douses the gang's homecoming float with gasoline. Brenda and Dylan find her sitting on the float with a lighter, but Brenda is able to calm her. Emily agrees to seek help. Brenda and Dylan attend cultural events because she fears they spend too much time making out.

Music: """"Baby I'm Yours"""" by Barbara Lewis (#11, 1965)",https://image.tmdb.org/t/p/original//nMyneV0NMxKPe2hdnKhC3QZ5cl.jpg
Chuckie's Back,2,17,1991-12-12,9.0,"Chuck Wilson, Samantha Sanders' old sitcom co-star and Steve's childhood nemesis, transfers to West Beverly after being kicked out of private school. Steve is depressed when Kelly agrees to go to a dance with Chuck. Samantha orders Steve to be nice to Chuck in the hopes of persuading him to appear in a reunion movie. Chuck taunts Steve about being adopted, and reveals that he knew about the adoption nine years before Steve. Steve punches him, but takes all the blame for the fight so that Chuck will sign the movie deal. He is hurt that his mother has again put her career ahead of him, and decides to search for his biological parents. Samantha backs out on the film after learning that her agent told Chuck about the adoption. Kelly stands up Chuck and brings Steve to the dance, but a teacher kicks him out because he is suspended. Steve's friends see him off as he catches a bus to Albuquerque to search for his mother, Karen Brown. Everyone teases Donna about going to the dance with David,",https://image.tmdb.org/t/p/original//4sepNWG8hsMm03RtlPZtOEdwi3z.jpg
A Walsh Family Christmas,2,18,1991-12-19,0.0,"Steve arrives in Albuquerque and tracks down his grandfather, a diner owner. Al explains that his daughter gave up Steve because she was very young and wanted him to have a good home. He sadly reveals that Karen died in a car accident. Steve leaves flowers at her grave, and convinces an eccentric Santa-like charter pilot to fly him home for Christmas. Cindy is depressed about her first Christmas in Beverly Hills. She invites the kids' friends and their families for Christmas Eve dinner, but everyone has other plans. Brandon visits Emily in a psychiatric hospital, where she is doing very well. Brenda begins work at an upscale clothing store. She feels bad when her boss throws out a cheerful old man dressed as Santa Claus. She stops the police from harassing him and invites him over for dinner. Dylan goes to see his father in prison, and talks with the same Santa. Jackie is furious when Mel backs out of Christmas Eve plans because his estranged wife asked him to come over with David. Sam",https://image.tmdb.org/t/p/original//jAK0NCl7o8aJ1336VBPabHuzeoG.jpg
Fire and Ice,2,19,1992-01-09,10.0,"Jim coaches a hockey team that includes Brandon, Steve and Dylan. After a practice, Brandon meets aspiring figure skater Trisha Kinney. They take a liking to each other, and Brandon gets up at 5:00 every morning to come to her practices. Trisha considers giving up the sport after a poor showing in her sectional meet. Her coach shows up during her date with Brandon and announces that she was given an exemption to compete at nationals. She bars Brandon from practice because he was affecting her concentration. Brenda's boss, Deidre, encourages her to become a more persuasive salesperson. Brenda convinces David to buy Donna $190 perfume as a belated birthday present (her birthday was Christmas day). Deidre steals a large commission from Brenda, but Cindy helps Brenda plot revenge.

Music: """"(I've Had) The Time of My Life"""" by Bill Medley and Jennifer Warnes (#1, 1987)",https://image.tmdb.org/t/p/original//xYS7y1wm5wyRR4jBGDJ5zS1oXFx.jpg
